20000,serial,1,16.516
40000,serial,1,66.594
80000,serial,1,274.159
120000,serial,1,652.609
140000,serial,1,931.359
160000,serial,1,1242.79
180000,serial,1,1565.18
200000,serial,1,1982.19
20000,serial,1,16.516
40000,serial,1,66.297
80000,serial,1,266.46
120000,serial,1,653.809
140000,serial,1,927.637
160000,serial,1,1223.59
180000,serial,1,1590.51
200000,serial,1,1958.44
20000,serial,1,16.5
40000,serial,1,66.203
80000,serial,1,266.545
120000,serial,1,650.572
140000,serial,1,938.833
160000,serial,1,1226.27
180000,serial,1,1592.85
200000,serial,1,1925.99
20000,parallel,1,16.75
20000,parallel,6,2.891
20000,parallel,12,2.203
20000,parallel,24,2.203
40000,parallel,1,66.89
40000,parallel,6,11.328
40000,parallel,12,9.219
40000,parallel,24,9.39
80000,parallel,1,269.022
80000,parallel,6,46.219
80000,parallel,12,37.829
80000,parallel,24,38.224
120000,parallel,1,662.552
120000,parallel,6,110.661
120000,parallel,12,87.984
120000,parallel,24,89.234
140000,parallel,1,940.376
140000,parallel,6,154.906
140000,parallel,12,120.834
140000,parallel,24,123.187
160000,parallel,1,1229.79
160000,parallel,6,204.739
160000,parallel,12,159.516
160000,parallel,24,162.053
180000,parallel,1,1593.26
180000,parallel,6,256.411
180000,parallel,12,202.786
180000,parallel,24,206.098
200000,parallel,1,1982.79
200000,parallel,6,324.536
200000,parallel,12,252.05
200000,parallel,24,253.698
20000,parallel,1,16.734
20000,parallel,6,2.984
20000,parallel,12,2.406
20000,parallel,24,2.422
40000,parallel,1,67.154
40000,parallel,6,11.562
40000,parallel,12,9.546
40000,parallel,24,9.547
80000,parallel,1,268.162
80000,parallel,6,46.313
80000,parallel,12,38.203
80000,parallel,24,38.625
120000,parallel,1,663.938
120000,parallel,6,110.02
120000,parallel,12,88.415
120000,parallel,24,89.485
140000,parallel,1,951.269
140000,parallel,6,152.562
140000,parallel,12,121.157
140000,parallel,24,122.928
160000,parallel,1,1234.17
160000,parallel,6,200.833
160000,parallel,12,159.657
160000,parallel,24,162.196
180000,parallel,1,1589.72
180000,parallel,6,255.006
180000,parallel,12,202.765
180000,parallel,24,206.556
200000,parallel,1,1950.57
200000,parallel,6,319.6
200000,parallel,12,252.104
200000,parallel,24,255.052
20000,parallel,1,16.703
20000,parallel,6,2.922
20000,parallel,12,2.438
20000,parallel,24,2.422
40000,parallel,1,66.954
40000,parallel,6,11.547
40000,parallel,12,9.359
40000,parallel,24,9.453
80000,parallel,1,268.678
80000,parallel,6,47.094
80000,parallel,12,37.844
80000,parallel,24,38.5
120000,parallel,1,657.601
120000,parallel,6,111.39
120000,parallel,12,88.188
120000,parallel,24,89.304
140000,parallel,1,936.262
140000,parallel,6,154.974
140000,parallel,12,120.797
140000,parallel,24,122.734
160000,parallel,1,1240.8
160000,parallel,6,203.406
160000,parallel,12,159.146
160000,parallel,24,161.815
180000,parallel,1,1593.7
180000,parallel,6,258.11
180000,parallel,12,202.098
180000,parallel,24,206.576
200000,parallel,1,1955.81
200000,parallel,6,322.208
200000,parallel,12,250.979
200000,parallel,24,253.703
